condition,Term,ES,NES,pval,fdr,Tag %,Gene %,leading_edge
Rest,Hypoxia,0.2614514274752535,0.8139470501393872,0.879,1.0,51/133,39.10%,VHL;RBPJ;UGP2;PNRC1;WSB1;HEXA;ATP7A;KDM3A;ALDOC;KLHL24;STBD1;ISG20;ZNF292;GAA;CDKN1C;TIPARP;BNIP3L;CASP6;IDS;B3GALT6;ENO3;PLAUR;PFKFB3;BHLHE40;PRDX5;LXN;FOXO3;KDELR3;ERO1A;ANKZF1;TGFB3;NDST2;GRHPR;SLC2A3;XPNPEP1;NAGK;CDKN1B;PPP1R15A;MAFF;CAVIN1;SLC37A4;KLF6;IRS2;IER3;MXI1;STC1;DDIT3;GLRX;NDST1;ERRFI1;SLC6A6
Rest,Apical Junction,-0.16133752644785834,-0.8083231085611383,1.0,0.7832258064516129,19/106,11.51%,AMIGO2;ARPC2;MAPK13;CLDN5;CTNNA1;ACTG1;MAP3K20;LIMA1;YWHAH;TUBG1;PFN1;HRAS;VASP;MPZL1;SKAP2;MSN;TSPAN4;GAMT;GNAI2
Rest,Coagulation,0.2604262916516828,0.7740492554117113,0.8394683026584867,1.0,5/54,7.38%,CFD;PROS1;TIMP1;LAMP2;CPQ
Rest,KRAS Signaling Up,0.24647555009614394,0.7717105879964852,0.9097291875626881,1.0,32/110,33.12%,CD37;LY96;ADAM8;SDCCAG8;CTSS;LAPTM5;MMD;C3AR1;RABGAP1L;ZNF277;KCNN4;PTBP2;CFH;CCSER2;BIRC3;LAT2;ST6GAL1;CSF2RA;CBL;GALNT3;MTMR10;PLAUR;ERO1A;CAB39L;NRP1;ATG10;RBM4;F2RL1;PCSK1N;PPP1R15A;VWA5A;IL7R
Rest,Apical Surface,0.2716669061481326,0.7150675477241805,0.8531618435155413,1.0,9/22,41.56%,ADAM10;B4GALT1;MDGA1;PLAUR;APP;TMEM8B;CRYBG1;NCOA6;LYPD3
Rest,TNF-alpha Signaling via NF-kB,0.22453757337688202,0.7127146054510957,0.971,1.0,63/161,44.71%,CEBPD;B4GALT1;BTG2;PNRC1;TANK;GCH1;SMAD3;SQSTM1;SAT1;B4GALT5;CCNL1;RELB;ZC3H12A;BIRC3;DENND5A;TIPARP;NINJ1;TNIP1;CLCF1;IL15RA;PLAUR;MXD1;PFKFB3;GADD45B;BHLHE40;IFIH1;REL;NFAT5;KDM6B;DNAJB4;SNN;TGIF1;BCL2A1;TAP1;IER2;SLC2A3;F2RL1;IL6ST;PTPRE;ICAM1;PPP1R15A;IL7R;MAFF;NFKBIA;KLF6;PTGS2;IRS2;IER3;TNFAIP8;CD80;JUNB;IRF1;FUT4;KLF9;NFKB2;BCL3;NFE2L2;JAG1;TRAF1;TLR2;PHLDA2;ZFP36;RNF19B
Rest,Notch Signaling,0.27979059529605715,0.7008156224998521,0.8694714131607335,1.0,2/17,8.15%,ARRB1;NOTCH2
Rest,TGF-beta Signaling,0.22564491175248408,0.647521678066979,0.9300411522633745,1.0,16/42,34.33%,XIAP;SMAD3;SMURF2;CDK9;CDKN1C;ARID4B;TRIM33;SKIL;APC;PPM1A;CTNNB1;ACVR1;TGIF1;SMURF1;PPP1R15A;MAP3K7
Rest,Adipogenesis,0.20380205382626895,0.6465864207592865,0.993,1.0,31/153,26.28%,SCP2;REEP6;ECH1;DRAM2;UCP2;POR;MGLL;STOM;TANK;SLC66A3;CMPK1;VEGFB;PEX14;BCL2L13;BAZ2A;REEP5;ACOX1;NDUFA5;DNAJB9;ETFB;NABP1;PDCD4;LIPE;BCKDHA;PPM1B;PHYH;PFKFB3;RREB1;CPT2;IDH1;MCCC1
Rest,p53 Pathway,0.199522053365588,0.6342534158840349,0.995995995995996,1.0,46/158,36.63%,TAX1BP3;TRAFD1;CTSD;BTG2;GLS2;ABCC5;IP6K2;BLCAP;TCN2;PRMT2;STOM;CTSF;CYFIP2;TXNIP;SAT1;ZFP36L1;NINJ1;RALGDS;PROCR;PDGFA;MXD1;DEF6;APP;PTPN14;FOXO3;VAMP8;FBXW7;HEXIM1;TAP1;TSPYL2;MKNK2;PTPRE;RHBDF2;PPP1R15A;VWA5A;MXD4;AK1;PITPNC1;PLXNB2;ERCC5;F2R;RETSAT;HINT1;IER3;DDIT3;IRAG2
