target,tier,condition,window,stratum,n_genes,n_hit,a,b,c,d,fisher_OR,fisher_p,logit_coef,logit_OR,logit_p,logit_n,perm_obs,perm_null_mean,perm_p,perm_enrichment,logit_err
TASOR,secondary_HUSH,Stim8hr,100kb,KZNF_only,452,31,31,0,317,104,inf,0.00021817657989540884,27.463994542524166,846177125231.4954,0.9999093838547094,452,31.0,28.5692,0.03739252149570086,1.0850846366016549,
TASOR,secondary_HUSH,Stim48hr,50kb,all,11880,81,48,33,2183,9616,6.407196102111357,6.784346632007723e-16,1.870490861749233,6.491482037596841,8.455292664815579e-16,11880,,,,,
TASOR,secondary_HUSH,Stim48hr,50kb,non_KZNF,11431,54,22,32,1904,9473,3.420529149159664,2.693857330205514e-05,1.2016011814925969,3.3254372908072467,2.3376055872157976e-05,11431,,,,,
TASOR,secondary_HUSH,Stim48hr,50kb,KZNF_only,449,27,26,1,279,143,13.32616487455197,0.00029588192625776966,2.742355667668241,15.52351029012858,0.008480996566800644,449,,,,,
TASOR,secondary_HUSH,Stim48hr,100kb,all,11880,81,55,26,3873,7926,4.329083000655425,1.353142301784875e-10,1.4694631352394831,4.34690081664463,1.2603144429831693e-09,11880,55.0,28.3786,0.0001999600079984003,1.938080102612532,
TASOR,secondary_HUSH,Stim48hr,100kb,non_KZNF,11431,54,28,26,3553,7824,2.371473727510879,0.0013216030779848145,0.8317653042079176,2.2973707209234564,0.002682369802866425,11431,28.0,17.7684,0.002599480103979204,1.5758312509848946,
TASOR,secondary_HUSH,Stim48hr,100kb,KZNF_only,449,27,27,0,320,102,inf,0.0007476546619180036,27.633472545738226,1002454437020.5532,0.9999328771782587,449,27.0,24.4372,0.041191761647670466,1.1048728986954315,
TRIM28,underpowered,Rest,50kb,all,11874,23,11,12,2195,9656,4.032498101746393,0.0013223380750848036,1.3212913634360746,3.748258617398577,0.0018018337394177179,11874,,,,,
TRIM28,underpowered,Rest,50kb,non_KZNF,11416,17,5,12,1888,9511,2.0990024717514126,0.13722705674729335,0.5674870208122726,1.7638290118212703,0.29141106946937323,11416,,,,,
TRIM28,underpowered,Rest,50kb,KZNF_only,458,6,6,0,307,145,inf,0.1003270951801264,27.677716592117743,1047802879564.9966,0.9999195182991526,458,,,,,
TRIM28,underpowered,Rest,100kb,all,11874,23,14,9,3907,7944,3.1628700622813755,0.005592097644041554,1.0815816831920593,2.949340786544591,0.012240753634526402,11874,14.0,7.6522,0.00639872025594881,1.8295392174799405,
TRIM28,underpowered,Rest,100kb,non_KZNF,11416,17,8,9,3560,7839,1.9573033707865168,0.12741915777513027,0.5117114043913059,1.6681436217413843,0.29678291744416896,11416,8.0,5.9566,0.20375924815036991,1.3430480475439008,
TRIM28,underpowered,Rest,100kb,KZNF_only,458,6,6,0,347,105,inf,0.20757986650628032,27.462303259767125,844747209986.537,0.9999608999855737,458,,,,,
TRIM28,underpowered,Stim8hr,50kb,all,13004,20,15,5,2425,10559,13.062680412371135,7.208298735092168e-08,2.4940590652921,12.110333123156883,1.59734334828401e-06,13004,,,,,
TRIM28,underpowered,Stim8hr,50kb,non_KZNF,12524,10,5,5,2109,10405,4.93361782835467,0.016269754003901953,1.4519751086785668,4.2715429504432985,0.022871924585674434,12524,,,,,
TRIM28,underpowered,Stim8hr,50kb,KZNF_only,480,10,10,0,316,154,inf,0.019962294772885476,,,,480,,,,,Singular matrix
TRIM28,underpowered,Stim8hr,100kb,all,13004,20,15,5,4286,8698,6.088194120391974,0.0001497805288084629,1.7286686553715735,5.6331492508977545,0.0008732546728737907,13004,15.0,7.1638,0.0003999200159968006,2.093860800134007,
TRIM28,underpowered,Stim8hr,100kb,non_KZNF,12524,10,5,5,3927,8587,2.1866564807741278,0.1751423762809419,0.6395464512484088,1.8956209277994334,0.31496258945659206,12524,5.0,3.2466,0.1915616876624675,1.5400726914310356,
